Depth,Width,Parameters,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50
44,40,0.536970,29.609999,38.759998,40.259998,32.919998,46.949997,41.450001,50.379997,50.270000,55.340000,53.919998,56.250000,61.869999,62.029999,60.449997,65.449997,64.180000,68.400002,61.609997,67.189995,72.209999,70.119995,71.549995,70.559998,75.349998,75.119995,74.059998,75.790001,74.619995,74.360001,74.769997,76.339996,80.629997,77.309998,80.779999,82.689995,82.309998,83.779999,84.820000,85.239998,85.099998,86.099998,85.900002,86.589996,87.250000,87.089996,87.119995,87.470001,87.409996,87.439995,87.500000
31,106,2.532986,38.799999,50.139999,55.919998,58.000000,61.199997,58.129997,70.979996,70.830002,72.830002,75.439995,74.779999,73.419998,74.970001,72.290001,80.309998,78.379997,80.220001,81.979996,81.959999,81.650002,81.029999,83.720001,85.529999,85.839996,83.639999,86.360001,83.769997,86.209999,87.529999,86.959999,88.839996,88.659996,88.570000,89.860001,90.629997,89.849998,90.360001,90.479996,91.570000,91.699997,91.979996,92.509995,92.879997,92.599998,93.079994,93.139999,93.180000,93.209999,93.320000,93.320000
33,102,2.404252,37.360001,45.829998,57.680000,57.070000,64.629997,66.159996,69.659996,68.389999,69.519997,61.989998,76.900002,76.559998,73.729996,71.869995,78.430000,79.449997,78.869995,70.269997,73.119995,82.939995,74.769997,80.699997,83.720001,81.439995,80.259995,83.549995,85.489998,85.199997,86.189995,84.979996,88.360001,86.839996,88.720001,89.250000,89.360001,89.889999,89.699997,90.419998,90.989998,91.129997,91.299995,92.019997,91.829994,92.009995,92.269997,92.369995,92.369995,92.279999,92.320000,92.320000
45,68,1.498934,33.369999,37.439999,42.610001,41.149998,47.369999,51.079998,50.709999,52.209999,60.549999,58.949997,63.149998,62.399998,65.209999,66.430000,66.059998,63.279999,67.139999,65.970001,68.339996,69.419998,67.839996,76.489998,71.189995,73.000000,75.909996,76.229996,78.009995,79.989998,79.759995,79.110001,79.070000,82.269997,82.500000,82.589996,83.790001,85.110001,85.979996,86.750000,86.430000,87.689995,87.909996,87.889999,88.689995,88.439995,88.860001,88.639999,89.089996,89.369995,89.320000,89.250000
40,122,4.304780,35.739998,44.209999,51.230000,51.379997,55.750000,52.329998,63.329998,60.949997,65.089996,63.349998,65.580002,65.860001,65.949997,71.650002,70.089996,70.439995,76.309998,72.779999,71.339996,77.409996,73.509995,73.000000,73.349998,80.470001,81.430000,81.500000,77.799995,80.739998,80.159996,83.659996,84.709999,83.900002,83.299995,86.360001,87.470001,87.529999,88.070000,88.169998,88.239998,89.500000,89.720001,90.009995,90.540001,90.459999,90.649994,90.909996,90.970001,90.899994,91.040001,91.089996
32,28,0.198922,29.809999,37.419998,42.529999,44.099998,43.599998,52.949997,49.160000,59.709999,59.430000,59.590000,65.239998,68.949997,67.970001,56.489998,64.739998,49.789997,72.559998,71.239998,69.570000,73.110001,77.159996,71.549995,75.330002,75.290001,77.699997,72.150002,73.449997,77.759995,78.409996,80.019997,80.619995,77.529999,80.040001,82.169998,81.139999,83.900002,84.470001,84.650002,84.759995,85.709999,85.540001,86.449997,86.759995,87.049995,86.909996,87.279999,87.339996,87.379997,87.509995,87.309998
23,94,1.460488,44.959999,56.070000,65.339996,68.739998,66.879997,72.809998,70.900002,78.189995,77.049995,74.139999,81.079994,77.229996,79.709999,79.209999,82.750000,80.079994,80.829994,84.040001,84.599998,85.110001,83.259995,85.909996,86.290001,85.970001,83.339996,87.529999,87.930000,87.519997,87.669998,88.540001,90.139999,89.320000,90.180000,90.040001,90.759995,91.009995,91.439995,92.099998,92.399994,91.930000,92.720001,93.009995,92.949997,93.430000,93.139999,93.489998,93.379997,93.389999,93.439995,93.500000
36,68,1.191914,28.779999,39.660000,43.539997,49.299999,51.289997,58.579998,61.859997,63.750000,63.509998,68.930000,60.769997,69.739998,71.220001,62.689999,73.479996,70.089996,76.930000,70.680000,73.799995,72.269997,71.709999,80.790001,76.699997,76.169998,81.669998,78.540001,79.139999,83.509995,84.290001,82.720001,84.089996,86.489998,84.320000,86.449997,86.029999,86.699997,85.610001,88.979996,88.769997,88.959999,89.650002,90.110001,90.229996,90.680000,90.839996,91.019997,91.099998,91.089996,90.979996,91.029999
48,30,0.333670,23.619999,32.549999,37.639999,41.529999,42.849998,39.119999,46.869999,43.349998,44.020000,50.360001,53.649998,50.579998,56.939999,56.199997,57.730000,55.840000,55.639999,58.439999,58.269997,58.619999,63.489998,53.270000,60.449997,67.379997,59.750000,61.609997,64.669998,73.369995,72.220001,65.540001,74.269997,73.509995,71.169998,74.320000,78.029999,78.269997,79.209999,80.729996,78.739998,80.199997,82.860001,82.449997,83.059998,82.909996,84.029999,84.180000,84.070000,84.439995,84.250000,84.579994
13,64,0.400394,51.910000,63.079998,58.579998,71.650002,68.599998,75.979996,75.250000,78.879997,80.019997,80.139999,83.540001,82.610001,81.169998,83.259995,84.019997,83.360001,84.519997,84.029999,85.180000,85.729996,86.409996,83.209999,86.489998,86.470001,87.860001,84.110001,88.259995,89.150002,88.570000,89.479996,89.519997,89.409996,90.139999,90.439995,90.540001,90.970001,90.549995,91.309998,91.519997,91.680000,91.799995,92.049995,92.459999,92.409996,92.309998,92.369995,92.489998,92.599998,92.500000,92.479996
23,96,1.521898,43.000000,57.939999,63.840000,71.519997,72.809998,69.389999,74.059998,79.989998,75.040001,80.150002,81.209999,78.279999,81.089996,81.409996,81.919998,83.659996,84.470001,86.129997,85.790001,83.779999,81.629997,84.369995,87.000000,87.739998,88.279999,88.269997,86.559998,88.259995,88.959999,88.930000,90.729996,90.089996,90.329994,91.180000,91.419998,91.570000,91.889999,92.430000,92.220001,92.839996,92.809998,93.279999,93.110001,93.389999,93.369995,93.579994,93.570000,93.629997,93.610001,93.529999
44,84,2.254906,33.910000,40.099998,44.469997,49.629997,42.480000,56.520000,54.789997,57.340000,50.250000,63.679996,60.660000,51.779999,65.669998,64.930000,66.979996,64.769997,69.580002,68.629997,68.509995,67.809998,72.430000,72.830002,72.559998,69.369995,71.500000,78.479996,73.080002,76.580002,77.769997,78.619995,80.309998,74.199997,81.379997,81.769997,81.180000,84.000000,82.699997,85.500000,86.129997,85.790001,86.470001,87.070000,87.389999,87.879997,87.809998,88.409996,88.229996,88.369995,88.400002,88.479996
11,80,0.503770,54.209999,64.619995,69.909996,69.970001,73.529999,74.699997,80.220001,81.549995,78.720001,81.959999,82.139999,82.299995,81.979996,82.519997,83.329994,84.430000,85.689995,84.189995,86.070000,86.099998,81.849998,86.930000,85.070000,87.889999,87.009995,87.459999,87.680000,88.839996,89.279999,90.040001,90.509995,90.089996,90.470001,90.559998,90.829994,91.110001,91.589996,91.619995,92.129997,92.299995,92.250000,92.579994,92.430000,92.610001,92.809998,92.909996,92.909996,92.959999,92.839996,92.849998
7,20,0.025170,48.559998,52.609997,62.919998,59.959999,67.110001,65.639999,66.409996,66.389999,68.970001,70.809998,74.349998,74.750000,72.220001,68.000000,73.519997,77.379997,73.470001,75.650002,78.439995,76.729996,75.369995,78.199997,78.919998,79.079994,79.049995,78.809998,77.080002,78.759995,79.379997,80.549995,80.259995,81.459999,81.650002,79.839996,82.930000,81.729996,82.900002,82.389999,83.519997,83.079994,83.379997,83.970001,83.970001,84.180000,84.360001,84.159996,84.269997,84.269997,84.389999,84.339996
